"yes_or_no_ne_attribute","vendor","api_status_code_ne_attribute","invitation_status","should_we_demo_idproofing_ne_attribute","personal_email","personal_mobile","invitation_sent_date","personal_first_name","projects","demo_email","engagement_type_of_employment","profile_uid_ne_attribute","is_company_provided_training_required_ne_attribute","will_this_person_be_provided_equipment_ne_attribute","will_remote_access_be_required_ne_attribute","citizenship_ne_attribute","identitynow_id","personal_last_name","Status","Name","UID"
,"Acme Consulting",,"Accepted","No","Edwin.Mckinney@acme.com","","08/11/2021","Edwin",,"demo+ZCCYH@seczetta.com","SOW Worker","C000288",,,,"Not Requested",,"Mckinney","Active","Edwin Mckinney","f0b48299d65a4f14b3a4595dea398cd9"
,"Acme Consulting","200","Accepted",,"ssmith@acme.com","8162177560","04/14/2021","Shawn","SailPoint Implementation Services - July 2019","demo+DFAGJ@seczetta.com",,"C000178","No","No","Yes",,"ac110006-78cc-1bda-8178-ec7ef9e3018c","Smith","Active","Shawn Smith","2efc251cdfcc4668b21de64375a50051"
"Yes","Acme Consulting","200","Accepted","No","Ron.Perry@acme.com","9702301234","06/08/2021","Ron","On-Demand Outage Services - 2021","demo+EAHAH@seczetta.com","SOW Worker","C000236","Yes","Yes","Yes","Not Requested","ac110009-79d0-15ab-8179-ec3c5ed1014d","Perry","Active","Ron Perry","6ac8be5ba60c4c51b44684cea3410720"
,,,,,"Jackie.Larson@acme.com","+46 43-345 34 34",,"Jackie",,,,,,,,,,"Larson","Active","Jackie Larson","0605ac1c948049fabd65dc309a1e03b7"
,"Acme Consulting","200","Accepted",,"lconners@acme.com","9138887896","04/21/2021","Lee","Oracle Workshop - June 2015","demo+YVSLE@seczetta.com",,"C000184","No","Yes","Yes",,"ac11000a-78f0-1985-8178-f4713b6d0040","Conners","Active","Lee Conners","be66aa76af8f4ad089d3c9d8ee9bec9b"
,"Acme Consulting",,"Accepted",,"Warren.Hoffman@acme.com","3126943333","04/16/2021","Warren","On-Demand Outage Services - 2021","demo+CYCJF@seczetta.com",,,,,,,,"Hoffman","Terminated","Warren Hoffman","2e37e4258ff743dc9a4c2ccfb609051a"
"No","Acme Consulting","200","Accepted","No","Nicholas.Campbell@acme.com","3126954545","06/25/2021","Nick","Identity Assessment - Sept 2020","demo+XSUDB@seczetta.com","SOW Worker","C000255","Yes","Yes","Yes","Not Requested","ac11000a-7a34-165d-817a-44e6953c012d","Campbell","Active","Nick Campbell","7a8288f41c0b418a8c1813f8cee29f6d"
,,,,,"Troy.Johnson@siue.edu",,,"Troy",,,,,,,,,,"Johnson","Active","Troy Johnson","dcc3c6c93d0d4752b7ebccec8e447d0c"
"No","Acme Consulting","200","Accepted","No","Nicholas.Peters@acme.com","3129643323","06/01/2021","Nicholas","On-Demand Outage Services - 2021","demo+ZCXTP@seczetta.com","SOW Worker","C000228","No","Yes","Yes","Not Requested","ac11000a-79c1-1d05-8179-c88220520034","Peters","Active","Nicholas Peters","3dbacc91fe40445e966bbf34dd9a4bf1"
,,,,,"Nina.Jordan@acme.com",,,"Nina",,,,,,,,,,"Jordan","Active","Nina Jordan","6497559b19664a1483c06db5c8ddbf00"
,"Acme Consulting","200","Accepted","No","Marshall.Johnston@acme.com","","08/11/2021","Marshall","Risk Assessment - Mar 2019","demo+GRDPK@seczetta.com","SOW Worker","C000290","No","No","No","Not Requested","ac110006-7b1c-1927-817b-3764688f01bb","Johnston","Active","Marshall Johnston","0bf716d0e9c04d7c99acd726b25dc91c"
,"Acme Consulting","200","Accepted",,"thart@acme.com","3032146542","05/12/2021","Troy","SailPoint Services - Feb 2015","demo+IHGLS@seczetta.com",,"C000201","No","Yes","Yes",,"ac110004-793d-14e4-8179-616bc92101bc","Hart","Active","Troy Hart","a66ff8aff4a34d9b85c78140bdc1bb6c"
,"Cisco",,,,"FCarroll@acme.com","3126943333","02/26/2021","Howard","On-Demand Outage Services - 2021","thook@seczetta.com",,"C000156",,,,,,"Lowe","Active","Howard Lowe","f75d1094b7db48b69895675b25d1f197"
,"Protiviti",,,,"Pedro.Coleman@protiviti.com",,,"Pedro",,,,,,,,,,"Coleman","Active","Pedro Coleman","3c7ca2a86a6548828389212eaf059561"
,"Cisco",,,,"PSpencer@acme.com",,"03/17/2021","Peggy","Oracle Consulting Services - Mar 2011","thook@seczetta.com",,"C000277",,,,,,"Spencer","Terminated","Peggy Spencer","dcd2b306ca0d4c3f86489961dc9f0d9e"
,"Deloitte",,,,"Jon.Lewis@deloitte.com",,,"Jon",,,,,,,,,,"Lewis","Active","Jon Lewis","1de9eb35242f467ca3fd87499e46a833"
"No","Acme Consulting","200","Accepted","No","Veronica.Dunn@acme.com","3126943434","06/23/2021","Veronica","Identity Assessment - Sept 2020","demo+PVJFW@seczetta.com","SOW Worker","C000252","Yes","Yes","Yes","Not Requested","ac11000a-7a34-165d-817a-39e88ae70063","Dunn","Active","Veronica Dunn","f395fe4cec5c490d95ac7dfb9df3ed26"
,"IBM",,,,"Debbie.Ramos@ibm.com",,,"Debbie",,,,,,,,,,"Ramos","Active","Debbie Ramos","9d0689505fe648148a69eded2b610b68"
,"Acme Consulting","200","Accepted","No","Byron.Fuller@acme.com","9703501235","06/16/2021","Byron","SailPoint Implementation Services - July 2019","demo+ECAUA@seczetta.com","SOW Worker","C000245","Yes","Yes","No","Not Requested","ac110009-7a10-13b9-817a-170c235c00c0","Fuller","Active","Byron Fuller","c00c72117e974facb4e893da473bc6ec"
,"Acme Consulting","200","Accepted",,"Dwight.Black@acme.com","9872341122","03/23/2021","Dwight","SailPoint Implementation Services - July 2019","demo+QBRLG@seczetta.com",,"C000167","Yes","No","No",,"ac110006-785a-1fd0-8178-600de83d0115","Black","Terminated","Dwight Black","c738a34d85454e61916f8a43d2108f13"
,"Acme Consulting","200","Accepted",,"lilymiles@acme.com","3036625896","04/26/2021","Lily","IAM Consulting Services - Nov 2017","demo+BIVQZ@seczetta.com",,"C000188","No","Yes","Yes",,"ac110006-78f0-197f-8179-101556250157","Miles","Active","Lily Miles","e1b1093d53ef40cb9f38d1f8088310dc"
,"Acme Consulting","200","Accepted","No","Teresa.hafiz@acme.com","","06/14/2021","Teresa","Identity Assessment - Sept 2020","demo+WXJGA@seczetta.com","SOW Worker","C000242","No","No","No","Not Requested","ac110009-7a10-13b9-817a-1a9705d307c2","Hafiz","Active","Teresa Hafiz","49dd0ee93e8d4d8aa3e7c9b806e0dfdb"
,"Acme Consulting","200","Accepted","No","Sergio.Carlson@acme.com","9703462233","07/20/2021","Sergio","Risk Assessment - Mar 2019","demo+ABKWQ@seczetta.com",,"C198767","Yes","Yes","Yes",,,"Carlson","Active","Sergio Carlson","a92fc58235174702ae96568ef1673130"
,"Acme Consulting",,"Accepted",,"Wendy.Welch@acme.com","9703453334","03/23/2021","Wendy","IAM Consulting Services - Nov 2017","demo+ATWCM@seczetta.com",,,,,,,,"Welch","Terminated","Wendy Welch","2cd24de92e744f50860bfc31e678d136"
,"Acme Consulting","200","Accepted","No","Jenny Wright@acme.com","3126943434","05/19/2021","Jenny","On-Demand Outage Services - 2021","demo+CRKMX@seczetta.com","SOW Worker","C000214","Yes","Yes","Yes","Not Requested",,"Wright","Active","Jenny Wright","1a2b191195ee438c9214fcb7755a3ea8"
,"Acme Consulting",,,,"Caroline.Stanley@acme.com",,,"Caroline","Oracle Workshop - June 2015",,,,,,,,,"Stanley","Terminated","Caroline Stanley","472f999bc1244423a2171cd944ade900"
,"Cisco",,,,"Flenn.Baker@cisco.com",,,"Flenn",,,,,,,,,,"Baker","Active","Flenn Baker","87f8d3c5f9e84a138ee6eafd2a3eec7e"
,"Acme Consulting","200","Accepted",,"lshaw@acme.com","","04/09/2021","Luis","Oracle Workshop - June 2015","demo+EIFMM@seczetta.com",,"C000175","No","Yes","Yes",,"ac110008-785a-1fde-8178-b7a4a037052e","Shaw","Active","Luis Shaw","5446c6b86b434dde9fec8e4158d857d0"
,"Cisco",,,,"Dolores.Jensen@cisco.com",,,"Dolores",,,,,,,,,,"Jensen","Active","Dolores Jensen","d98448847916426988e24a1e640c2168"
"No","Acme Consulting","200","Accepted","Yes","Lauren.Dean@acme.com","3126843434","07/08/2021","Lauren","SecZetta Health Check - July 2016","demo+DDZOX@seczetta.com","SOW Worker","C000266","Yes","Yes","Yes","Not Requested","ac110008-7a81-176e-817a-871e0ff30055","Dean","Active","Lauren Dean","04c1b3ae0f2d46a084dce9ce6ae8621b"
,,,,,"Raymond.Howard@acme.com",,,"Raymond",,,,,,,,,,"Howard","Active","Raymond Howard","56c4957e6166444ea50f4c227315aef3"
,"Booz Allen Hamilton",,,,"Micheal.Hughes@boozallen.com",,,"Micheal",,,,,,,,,,"Hughes","Active","Micheal Hughes","a2ab4555326a42ffb6d1cad4bbe95aee"
"No","Acme Consulting","200","Accepted","Yes","Natalie.Gomez@acme.com","","07/06/2021","Natalie","Oracle Workshop - June 2015","demo+CFXYN@seczetta.com","SOW Worker","C000264","Yes","Yes","Yes","Not Requested","ac110007-7a79-1039-817a-7d2ed25d0021","Gomez","Active","Natalie Gomez","77f0f988ce294309a5c04fbd03ffba2a"
,"Acme Consulting","200","Accepted",,"tcarr@acme.com","3039684563","04/27/2021","Travis","IAM Consulting Services - Nov 2017","demo+OEQJR@seczetta.com",,"C000189","No","Yes","Yes",,"ac110006-78f0-197f-8179-13f0263f0471","Carr","Active","Travis Carr","507dc254f30b4e1298372fdde8ccb0af"
,"Booz Allen Hamilton","200",,,"robertagronk@acme.com","8162177560","03/12/2021","Roberta","IAM Consulting Services - Nov 2017","thook@seczetta.com",,"C000162","No","Yes","Yes",,"ac11000a-781e-1ec7-8178-2864a4bd0054","Gronk","Terminated","Roberta Gronk","629c9ff837b34e0ea8a1c712b8dc9871"
,,,,,"thook@seczetta.com",,,"Michelle",,,,,,,,,,"Grant","Active","Michelle Grant","2665220d045b4b19b0b43569b98ba071"
,"Gartner",,,,"Byron.Powell@gartner.com",,,"Byron",,,,,,,,,,"Powell","Active","Byron Powell","73c8e41e29f84351bc438ec127744bb0"
,"Booz Allen Hamilton",,,,"Morris.Butler@boozallen.com",,,"Morris",,,,,,,,,,"Butler","Active","Morris Butler","c87a899d9dcb4211b212db3a9d09f902"
,,,,,"christine.mik@seczetta.com",,,"Christine",,,,"000000099",,,,,,"Mik","Active","Christine Mik","dd42afa775bd43e8bbe392f67c1707db"
,"Acme Consulting","200","Accepted",,"hpopvick@acme.com","","05/18/2021","Heather","Oracle Workshop - June 2015","demo+KMFWR@seczetta.com","SOW Worker","C000207","Yes","Yes","Yes","Not Requested","ac110008-797a-17be-8179-81c0ecc400b2","Popvick","Active","Heather Popvick","2f20c25fcdd5465eb48c458deca9f4d8"
,"Acme Consulting","200","Accepted",,"Irma.Prescott@acme.com","3126943434","05/05/2021","Irma","SailPoint Implementation Services - July 2019","demo+LXQOW@seczetta.com",,"C000194","Yes","No","Yes",,"ac110006-78f0-197f-8179-3cc8d7f40643","Prescott","Active","Irma Prescott","f9f13093a2484fc7a7fdedbaabdf6160"
"No","Acme Consulting","200","Accepted","No","rmulberry@acme.com","9138771232","08/09/2021","Rachel","Risk Assessment - Mar 2019","demo+DIKDA@seczetta.com","SOW Worker","C000284","Yes","Yes","Yes","Not Requested","ac110006-7b1c-1927-817b-2b450c5700ad","Mulberry","Active","Rachel Mulberry","2a157fa9b4854f6ca0af209b2163fdbc"
"Yes","Acme Consulting","200","Accepted","Yes","Kim.Jackson@acme.com","9802601235","05/26/2021","Kim","IAM Consulting Services - Nov 2017","demo+LPWEQ@seczetta.com","SOW Worker","C000225","Yes","Yes","Yes","Not Requested","ac110008-79a9-1e0e-8179-a9e9284c000a","Jackson","Terminated","Kim Jackson","02f6cfb7677e4c40903334b9e0975eba"
,"KPMG",,,,"Marion.Harvey@kpmg.com",,,"Marion",,,,,,,,,,"Harvey","Active","Marion Harvey","81517449d4084d24ae5ca82c1a827100"
,,,,,"dale.watts@seczetta.com",,,"Dale",,,,"000000095",,,,,,"Watts","Active","Dale Watts","11e24e4dc02149f1b719417c9dbf63ea"
,"Acme Consulting","200","Accepted","No","Cindy.Jennings@acme.com","9807776464","08/20/2021","Cindy","Oracle Workshop - June 2015","demo+PZHBG@seczetta.com","SOW Worker","C000303","No","No","No","Not Requested","ac110008-7b5c-11f5-817b-654677800096","Jennings","Terminated","Cindy Jennings","a27bd0919fab4339a52e731d1fa6fa48"
"No","Acme Consulting","200","Accepted","Yes","gcarlson@acme.com","9131236547","08/09/2021","Gail","Identity Assessment - Sept 2020","demo+DSQND@seczetta.com","SOW Worker","C000285","Yes","Yes","Yes","Not Requested","ac110006-7af4-148c-817b-2bf1129e0372","Carlson","Active","Gail Carlson","23e198aaeab74a4d8e1a004b7594f7fe"
,"Acme Consulting","200",,,"Albert.Brooks@acme.com","3126943434","02/05/2021","Albert","IAM Consulting Services - Nov 2017","thook@seczetta.com",,"C000138","No","Yes","Yes",,"ac11000a-76f4-18c2-8177-738d86e4123c","Brooks","Active","Albert Brooks","8e8f6e3b6f53483193ec813914d72c78"
,"Acme Consulting","200","Accepted",,"amorgan@acme.com","3035677896","04/21/2021","Amelia","SailPoint Implementation Services - July 2019","demo+HWWPT@seczetta.com",,"C000185","No","Yes","Yes",,"ac110006-78f0-197f-8178-f4a2136a005b","Morgan","Active","Amelia Morgan","cb66e0ece6bb4a5380e08b463cc18479"
,,,,,"Nelson.Jones@acme.com",,,"Nelson",,,,,,,,,,"Jones","Active","Nelson Jones","8c08dc2b50f44eea9bd786e0e549c60b"
"No","Acme Consulting","200","Accepted","No","Mike.Medina@acme.com","3124565656","08/16/2021","Mike","IAM Consulting Services - Nov 2017","demo+AMSYO@seczetta.com","SOW Worker","C000292","Yes","Yes","Yes","Not Requested","ac110006-7b1c-1927-817b-4fd6063e02b9","Medina","Active","Mike Medina","2b7fc946b52d44938711da95c8406812"
"No","Acme Consulting","200","Accepted","Yes","bdavis@acme.com","3032156987","06/08/2021","Bruce","Identity Assessment - Sept 2020","demo+SFXOW@seczetta.com","SOW Worker","C000235","Yes","Yes","Yes","Not Requested","ac11000a-79c1-1d05-8179-ebdbf7e705bd","Davis","Active","Bruce Davis","0dc2488f5f4b45728bdd87a5c683348f"
,,,,,"Chris.Gutierrez@acme.com",,,"Chris",,,,,,,,,,"Gutierrez","Active","Chris Gutierrez","5dfce49a58d74cf49d1cb79a69c56661"
